DateTime,AddedIPs,RemovedIPs
1527778906,2,1
1527780787,5,4
1527782666,3,3
1527784624,4,3
1527786538,5,0
1527788462,1,3
1527790497,1,6
1527792308,8,3
1527794179,4,6
1527796136,3,5
1527798019,3,8
1527799956,5,4
1527801875,6,2
1527803796,3,1
1527806006,6,6
1527807873,4,6
1527809822,6,5
1527811713,1,5
1527813630,5,12
1527815561,4,3
1527817499,6,1
1527819392,3,2
1527821329,2,1
1527823227,5,2
1527825169,5,0
1527827074,2,0
1527829015,2,0
1527830911,2,2
1527832903,2,3
1527834774,3,5
1527836672,5,6
1527838605,1,1
1527840525,4,3
1527842454,3,6
1527844365,3,3
1527846312,6,3
1527848192,3,3
1527850114,4,1
1527852043,2,3
1527853952,3,5
1527855871,1,12
1527857837,10,2
1527859705,5,2
1527861701,2,5
1527863568,3,2
1527865471,4,3
1527867407,2,5
1527869347,5,2
1527871231,5,5
1527873086,5,4
1527875064,5,1
1527876975,6,1
1527878912,8,8
1527880814,3,3
1527882735,4,4
1527884675,4,3
1527886577,4,4
1527888494,4,7
1527890543,3,2
1527895214,11,16
1527897160,4,0
1527899057,2,3
1527901299,3,5
1527903151,2,6
1527905068,0,1
1527906981,2,6
1527908924,0,4
1527910825,4,3
1527916439,8,9
1527918678,3,2
1527921135,2,4
1527923319,0,5
1527928517,12,8
1527930860,5,3
1527933074,3,6
1527935216,5,4
1527937872,5,5
1527940234,5,2
1527942644,5,2
1527944969,13,2
1527947209,4,4
1527949067,2,5
1527951392,5,4
1527953719,9,2
1527956407,6,6
1527961196,8,13
1527965966,9,15
1527968421,7,5
1527970740,3,4
1527972881,6,5
1527974857,2,4
1527977288,2,3
1527984238,14,18
1527986642,2,1
1527991401,1,4
1527993822,1,1
1527996222,5,1
1528005407,8,14
1528007360,1,2
1528009325,2,1
1528011140,2,3
1528013060,1,6
1528014992,0,4
1528016898,1,4
1528018841,4,2
1528020743,1,4
1528022656,1,2
1528024483,1,6
1528026490,2,6
1528028307,1,4
1528030342,0,13
1528032259,1,3
1528034178,5,3
1528036101,3,2
1528038099,1,4
1528039943,0,8
1528041871,1,5
1528043771,0,5
1528045699,0,3
1528047701,0,2
1528049544,1,3
1528051501,2,4
1528053393,1,4
1528055334,4,5
1528057220,1,4
1528059186,0,5
1528061063,2,2
1528063008,0,2
1528064915,3,3
1528066906,1,5
1528068748,1,2
1528070688,1,4
1528072571,0,2
1528074535,0,1
1528076418,1,0
1528078389,2,0
1528080257,1,2
1528082233,0,4
1528084109,0,1
1528086049,0,1
1528089897,0,3
1528091770,1,2
1528093723,1,2
1528095701,2,2
1528097577,1,2
1528099463,3,1
1528101442,1,0
1528103296,0,1
1528105262,3,4
1528107148,0,1
1528109091,3,1
1528110980,0,1
1528112919,2,2
1528114832,1,1
1528116782,2,0
1528118674,0,1
1528120540,0,5
1528122502,0,3
1528124499,2,1
1528126338,2,0
1528128329,4,1
1528130186,3,0
1528132133,2,0
1528135951,1,1
1528137867,2,2
1528139804,1,1
1528141708,2,4
1528143631,1,1
1528147476,1,2
1528149385,1,0
1528151326,1,3
1528153311,3,1
1528155143,4,1
1528157063,1,1
1528158997,1,0
1528160906,2,0
1528162818,2,1
1528164748,1,2
1528166668,2,1
1528168584,1,0
1528174344,1,0
1528176279,3,0
1528178181,0,1
1528180404,0,1
1528182267,3,2
1528184178,1,2
1528186103,0,2
1528188018,1,1
1528189941,1,1
1528191866,0,2
1528193778,2,0
1528195696,2,3
1528197626,1,0
1528199543,3,2
1528201455,1,1
1528203379,2,2
1528205302,2,0
1528207301,3,0
1528209146,0,1
1528211074,5,1
1528213496,0,3
1528215400,4,5
1528217309,2,2
1528219214,1,1
1528221159,0,1
1528223059,0,1
1528225000,0,2
1528226891,0,1
1528229011,0,2
1528232908,0,1
1528234815,0,1
1528240574,0,4
1528242499,0,3
1528246335,0,2
1528248268,5,2
1528250183,0,1
1528252092,1,3
1528254107,1,1
1528256031,4,0
1528257864,1,0
1528259787,4,1
1528261693,2,2
1528263617,0,1
1528265560,3,0
1528267772,1,1
1528269621,3,3
1528271558,3,0
1528273466,2,1
1528275389,1,0
1528277306,0,1
1528279294,1,2
1528283076,1,3
1528284996,0,1
1528286920,2,2
1528288822,1,1
1528290758,1,4
1528292681,0,3
1528294580,1,2
1528296502,2,1
1528298427,0,4
1528302274,0,5
1528304177,2,0
1528306274,0,1
1528308292,1,0
1528311709,4,1
1528313587,2,0
1528320496,0,0
1528324419,1,0
1528326780,0,1
1528331812,1,0
1528335436,1,5
1528337310,1,3
1528339234,0,1
1528341173,0,7
1528343179,0,3
1528345003,10,2
1528346905,1,5
1528348818,1,0
1528350763,2,1
1528352972,0,2
1528354902,1,2
1528356745,1,2
1528358668,0,3
1528360574,1,2
1528362500,0,1
1528366337,0,1
1528368259,0,1
1528372094,0,1
1528374027,0,1
1528375961,1,2
1528379776,1,1
1528381636,1,0
1528383695,1,2
1528389386,2,1
1528391318,0,2
1528393223,2,1
1528395155,4,1
1528397071,1,3
1528398978,2,2
1528402822,1,0
1528404740,1,0
1528406681,5,0
1528408582,2,0
1528411110,3,1
1528413136,1,0
1528415082,0,1
1528416991,1,0
1528418895,1,0
1528422756,0,2
1528426908,1,0
1528434511,0,2
1528438368,0,2
1528442284,0,2
1528446024,0,1
1528447934,1,0
1528449869,2,0
1528455690,1,0
1528461399,1,0
1528463310,0,1
1528465157,1,1
1528467058,1,1
1528469274,0,1
1528475052,1,0
1528476970,0,2
1528478889,2,2
1528480900,2,2
1528482742,0,2
1528484657,0,2
1528486877,0,1
1528488748,0,1
1528490659,0,1
1528492598,1,3
1528494503,1,3
1528496436,2,2
1528498503,0,3
1528504360,0,2
1528508190,2,0
1528512020,0,1
